survey_organization,party_affiliation,start_date,end_date,survey_method,survey_question,survey_population,survey_sample,approve_percent,disapprove_percent,undecided_percent,margin_of_error
PPP (D),Democrat,2017-01-30,2017-01-31,Automated Phone/Internet,Do you approve or disapprove of President Donald Trump’s job performance?,Likely Voters (Republicans),,84,13,2,
PPP (D),Democrat,2017-01-30,2017-01-31,Automated Phone/Internet,Do you approve or disapprove of President Donald Trump’s job performance?,Likely Voters (Independents),,48,48,7,
Rasmussen,None,2017-01-30,2017-02-01,Automated Phone/Internet,,Likely Voters,1500,53,47,,2.5
SurveyMonkey,None,2017-01-30,2017-02-05,Internet,,Adults,9219,46,52,2,
SurveyMonkey,None,2017-01-30,2017-02-05,Internet,,Adults (Democrats),3069,10,90,1,
SurveyMonkey,None,2017-01-30,2017-02-05,Internet,,Adults (Republicans),2456,90,9,1,
SurveyMonkey,None,2017-01-30,2017-02-05,Internet,,Adults (Independents),3504,44,55,1,
CNN,None,2017-01-31,2017-02-02,Live Phone,Do you approve or disapprove of the way Donald Trump is handling his job as president?,Adults,1002,44,53,3,3
CNN,None,2017-01-31,2017-02-02,Live Phone,Do you approve or disapprove of the way Donald Trump is handling his job as president?,Adults (Democrats),,10,89,1,5.5
CNN,None,2017-01-31,2017-02-02,Live Phone,Do you approve or disapprove of the way Donald Trump is handling his job as president?,Adults (Republicans),,90,8,2,6
CNN,None,2017-01-31,2017-02-02,Live Phone,Do you approve or disapprove of the way Donald Trump is handling his job as president?,Adults (Independents),,41,55,4,4.5
Gallup,None,2017-01-31,2017-02-02,Live Phone,,Adults,1500,43,52,,3
Rasmussen,None,2017-01-31,2017-02-02,Automated Phone/Internet,,Likely Voters,1500,54,46,,2.5
CBS,None,2017-02-01,2017-02-02,Live Phone,Do you approve or disapprove of the way Donald Trump is handling his job as President?,Adults,1019,40,48,12,4
CBS,None,2017-02-01,2017-02-02,Live Phone,Do you approve or disapprove of the way Donald Trump is handling his job as President?,Adults (Democrats),,8,84,8,
CBS,None,2017-02-01,2017-02-02,Live Phone,Do you approve or disapprove of the way Donald Trump is handling his job as President?,Adults (Republicans),,84,8,8,
CBS,None,2017-02-01,2017-02-02,Live Phone,Do you approve or disapprove of the way Donald Trump is handling his job as President?,Adults (Independents),,36,46,18,
Gallup,None,2017-02-01,2017-02-03,Live Phone,,Adults,1500,44,50,,3
Rasmussen,None,2017-02-01,2017-02-05,Automated Phone/Internet,,Likely Voters,1500,53,47,,2.5
Gallup,None,2017-02-02,2017-02-04,Live Phone,,Adults,1500,42,53,,3
Politico/Morning Consult,None,2017-02-02,2017-02-04,Internet,,Registered Voters,2070,47,46,6,2
Politico/Morning Consult,None,2017-02-02,2017-02-04,Internet,,Registered Voters (Democrats),740,15,80,4,
Politico/Morning Consult,None,2017-02-02,2017-02-04,Internet,,Registered Voters (Republicans),715,85,10,5,
Politico/Morning Consult,None,2017-02-02,2017-02-04,Internet,,Registered Voters (Independents),615,44,45,11,
Quinnipiac,None,2017-02-02,2017-02-06,Live Phone,Do you approve or disapprove of the way Donald Trump is handling his job as President?,Registered Voters,1155,42,51,7,2.9
Quinnipiac,None,2017-02-02,2017-02-06,Live Phone,Do you approve or disapprove of the way Donald Trump is handling his job as President?,Registered Voters (Democrats),,4,90,6,
Quinnipiac,None,2017-02-02,2017-02-06,Live Phone,Do you approve or disapprove of the way Donald Trump is handling his job as President?,Registered Voters (Republicans),,88,8,4,
Quinnipiac,None,2017-02-02,2017-02-06,Live Phone,Do you approve or disapprove of the way Donald Trump is handling his job as President?,Registered Voters (Independents),,38,53,9,
Rasmussen,None,2017-02-02,2017-02-06,Automated Phone/Internet,,Likely Voters,1500,53,47,,2.5
Zogby,None,2017-02-02,2017-02-04,Internet,,Likely Voters,860,47,43,9,3.3
Gallup,None,2017-02-03,2017-02-05,Live Phone,,Adults,1500,42,52,,3
Ipsos/Reuters,None,2017-02-03,2017-02-07,Internet,"Overall, do you approve or disapprove about the way Donald Trump is handling his job as President?",Adults,1896,48,47,5,2.6
Ipsos/Reuters,None,2017-02-03,2017-02-07,Internet,"Overall, do you approve or disapprove about the way Donald Trump is handling his job as President?",Adults (Democrats),785,23,75,2,4
Ipsos/Reuters,None,2017-02-03,2017-02-07,Internet,"Overall, do you approve or disapprove about the way Donald Trump is handling his job as President?",Adults (Republicans),733,85,14,2,4.1
Ipsos/Reuters,None,2017-02-03,2017-02-07,Internet,"Overall, do you approve or disapprove about the way Donald Trump is handling his job as President?",Adults (Independents),246,39,52,9,7.1
Gallup,None,2017-02-04,2017-02-06,Live Phone,,Adults,1500,42,54,,3
Gallup,None,2017-02-05,2017-02-07,Live Phone,,Adults,1500,43,52,,3
Rasmussen,None,2017-02-05,2017-02-07,Automated Phone/Internet,,Likely Voters,1500,53,47,,2.5
YouGov/Economist,None,2017-02-05,2017-02-07,Internet,,Adults,1500,41,48,11,3.2
YouGov/Economist,None,2017-02-05,2017-02-07,Internet,,Adults (Democrats),553,13,83,4,
YouGov/Economist,None,2017-02-05,2017-02-07,Internet,,Adults (Republicans),376,83,13,4,
YouGov/Economist,None,2017-02-05,2017-02-07,Internet,,Adults (Independents),571,36,43,20,
Gallup,None,2017-02-06,2017-02-08,Live Phone,,Adults,1500,43,52,,3
Rasmussen,None,2017-02-06,2017-02-08,Automated Phone/Internet,,Likely Voters,1500,53,47,,2.5
SurveyMonkey,None,2017-02-06,2017-02-12,Internet,,Adults,9349,46,53,1,
SurveyMonkey,None,2017-02-06,2017-02-12,Internet,,Adults (Democrats),3146,10,90,1,
SurveyMonkey,None,2017-02-06,2017-02-12,Internet,,Adults (Republicans),2735,90,10,0,
SurveyMonkey,None,2017-02-06,2017-02-12,Internet,,Adults (Independents),3303,45,55,1,
Gallup,None,2017-02-07,2017-02-09,Live Phone,,Adults,1500,42,52,,3
PPP (D),Democrat,2017-02-07,2017-02-08,Automated Phone/Internet,Do you approve or disapprove of President Donald Trump’s job performance?,Likely Voters,712,43,53,3,3.7
PPP (D),Democrat,2017-02-07,2017-02-08,Automated Phone/Internet,Do you approve or disapprove of President Donald Trump’s job performance?,Likely Voters (Democrats),,8,90,2,
PPP (D),Democrat,2017-02-07,2017-02-08,Automated Phone/Internet,Do you approve or disapprove of President Donald Trump’s job performance?,Likely Voters (Republicans),,89,8,3,
PPP (D),Democrat,2017-02-07,2017-02-08,Automated Phone/Internet,Do you approve or disapprove of President Donald Trump’s job performance?,Likely Voters (Independents),,43,53,5,
Pew,None,2017-02-07,2017-02-12,Live Phone,,Adults,1503,39,56,6,2.9
Rasmussen,None,2017-02-07,2017-02-09,Automated Phone/Internet,,Likely Voters,1500,53,48,,2.5
Gallup,None,2017-02-08,2017-02-10,Live Phone,,Adults,1500,41,53,,3
Rasmussen,None,2017-02-08,2017-02-12,Automated Phone/Internet,,Likely Voters,1500,52,48,,2.5
Gallup,None,2017-02-09,2017-02-11,Live Phone,,Adults,1500,40,55,,3
Politico/Morning Consult,None,2017-02-09,2017-02-10,Internet,,Registered Voters,1791,49,45,6,2
Politico/Morning Consult,None,2017-02-09,2017-02-10,Internet,,Registered Voters (Democrats),642,17,79,3,
Politico/Morning Consult,None,2017-02-09,2017-02-10,Internet,,Registered Voters (Republicans),626,88,10,3,
Politico/Morning Consult,None,2017-02-09,2017-02-10,Internet,,Registered Voters (Independents),523,41,47,13,
Rasmussen,None,2017-02-09,2017-02-13,Automated Phone/Internet,,Likely Voters,1500,52,48,,2.5
Gallup,None,2017-02-10,2017-02-12,Live Phone,,Adults,1500,40,54,,3
Ipsos/Reuters,None,2017-02-10,2017-02-14,Internet,"Overall, do you approve or disapprove about the way Donald Trump is handling his job as President?",Adults,1774,46,50,4,2.7
Ipsos/Reuters,None,2017-02-10,2017-02-14,Internet,"Overall, do you approve or disapprove about the way Donald Trump is handling his job as President?",Adults (Democrats),802,19,79,1,3.9
Ipsos/Reuters,None,2017-02-10,2017-02-14,Internet,"Overall, do you approve or disapprove about the way Donald Trump is handling his job as President?",Adults (Republicans),644,84,14,2,4.4
Ipsos/Reuters,None,2017-02-10,2017-02-14,Internet,"Overall, do you approve or disapprove about the way Donald Trump is handling his job as President?",Adults (Independents),194,43,51,6,8
FOX,None,2017-02-11,2017-02-13,Live Phone,,Registered Voters,1013,48,47,6,3
FOX,None,2017-02-11,2017-02-13,Live Phone,,Registered Voters (Democrats),,10,86,5,4.5
FOX,None,2017-02-11,2017-02-13,Live Phone,,Registered Voters (Republicans),,87,9,5,5
FOX,None,2017-02-11,2017-02-13,Live Phone,,Registered Voters (Independents),,52,38,10,7
